#1:cfg  2:S
0 86472.9250114277
1 111276.32417808757
2 122862.72569019784
3 129972.75900306078
4 134188.03858995668
5 181540.53747331057
6 186018.59685984268
7 190626.25949991445
8 192918.03144572457
9 192650.84882126292
10 194535.40676968865
