#1:cfg  2:plaquette
1 0.6741193277581737
2 0.6390460479087673
3 0.6190164201801951
4 0.6062197235562791
5 0.5967943157942065
6 0.5905012307589593
7 0.5850460307619956
8 0.581175862250526
9 0.5781866316630978
10 0.5755189699002298
11 0.5739979020619354
12 0.5720424292598167
13 0.5710211145159217
14 0.5693929936404823
15 0.5678724183863703
16 0.5673491076208007
17 0.5667933577513825
18 0.5656160306418896
19 0.5647500655606071
20 0.5637901695757955
21 0.5635049318075793
22 0.5638477628639722
23 0.5632094012521974
24 0.5630370874184013
25 0.5632758245447812
26 0.5622234548239834
27 0.5619114334443637
28 0.5613667903025042
29 0.5619162591538315
30 0.5610982549796345
31 0.5611496492159446
32 0.5609198080126546
33 0.5605013427626738
34 0.5600133460665473
35 0.559979932287229
36 0.5589488212524582
37 0.5599954411083764
38 0.5595503861162544
39 0.559948642937338
40 0.5594033491752727
41 0.5590623220659751
42 0.5589825756026577
43 0.5579434200755357
44 0.5586046205190127
45 0.5588616422461264
46 0.5582805462154304
47 0.5580303870804981
48 0.5577301693422456
49 0.5581158882199038
50 0.5572796523878759
51 0.5578596369755724
52 0.5577235270032206
53 0.557011512008665
54 0.556837222894352
55 0.5567374341540133
56 0.5568456361656265
57 0.556620390943406
58 0.5565652205887719
59 0.5566368233817979
60 0.5550429546675842
61 0.5557533431451137
62 0.5564268808724052
63 0.5560269436658354
64 0.5573614466235238
65 0.5565790282896662
66 0.5568561023142244
67 0.5558738232181064
68 0.5555441009168632
69 0.5557640934758187
70 0.5560875126471808
71 0.5557335150077579
72 0.5557486593952093
73 0.5564756625676001
74 0.5562090520725282
75 0.5556721345443174
76 0.5556686957290934
77 0.5562261710274355
78 0.5553207928031018
79 0.5539275672643859
80 0.5544885706476822
81 0.5552464065300388
82 0.555866880112056
83 0.555736507039008
84 0.5553246610856267
85 0.5547016471169496
86 0.5546702202376064
87 0.5548513017325074
88 0.5546260253174141
89 0.5536789664093504
90 0.5533988710749307
91 0.5527649805853564
92 0.5533559791180825
93 0.5533075652526982
94 0.552967697255279
95 0.5528026916066219
96 0.5532851099742743
97 0.5540820142465481
98 0.553911049933113
99 0.553473919207996
100 0.30330450789347535
101 0.2760039355894068
102 0.2687840900610019
103 0.26635690654931504
104 0.2655144655577679
105 0.2650248235774318
106 0.2644248477915031
107 0.26382520661057846
108 0.2629778871664143
109 0.2626415948247515
