#1:cfg  2:plaquette
#1:cfg  2:plaquette
1 0.6757902957214498
2 0.6401832807583179
3 0.620528311292023
4 0.6062690697755296
5 0.597668937511472
6 0.5904344234272322
7 0.5836469281709086
8 0.5801898908837748
9 0.5782753605859207
10 0.5769871402855863
11 0.5716314963976289
12 0.5708024790719433
13 0.5702519374924151
14 0.566921406944882
15 0.5677270212713736
16 0.5683286768063837
17 0.5663615388195602
18 0.5649583432736449
19 0.5664716086267028
20 0.5669543443850235
21 0.5661463611702625
22 0.5627114994998053
23 0.5629720824796046
24 0.565449941642111
25 0.5635806612597368
26 0.5637776603999234
27 0.5644533006343856
28 0.5639749055479227
29 0.5617938979855346
30 0.562027844642845
31 0.5608771945959456
32 0.5621502915249562
33 0.5616629820469988
34 0.5616122298729168
35 0.5597634885866639
36 0.5607004037199503
37 0.5595648442765131
38 0.5591645764162981
39 0.5587163179115259
40 0.5580522574649296
41 0.5588177209695515
42 0.56018783553991
43 0.558427652623246
44 0.5586882527437337
45 0.5556955582140459
46 0.5573939123252599
47 0.557210376685582
48 0.5566045944532293
49 0.5572913276942228
50 0.5586217199701705
51 0.5567138463754145
52 0.557984759335925
53 0.5587489382473922
54 0.5580912657553228
55 0.557672162108869
56 0.5584364868488797
57 0.5585431135123001
58 0.5573640289270774
59 0.5570733499081045
60 0.5560873291508993
61 0.5561615922529407
62 0.5572201579878194
63 0.5561494418943534
64 0.5556298300962437
65 0.5544778041511154
66 0.5541272752563481
67 0.5533207003716031
68 0.555295744376394
69 0.5539549959660798
70 0.5557304820546971
71 0.555092013200412
72 0.5540878704317899
73 0.5546674898361003
74 0.5555071409542143
75 0.5556755015512638
76 0.5552552273702851
77 0.5556971268766708
78 0.5566525032858235
79 0.5553260300242914
80 0.5538407489097604
81 0.5536724240985406
82 0.5535578578033714
83 0.5534224526017483
84 0.5533177511106288
85 0.5543058078158664
86 0.5548446805023117
87 0.5533996913728392
88 0.5543296254291029
89 0.5540978318403494
90 0.5535808671488134
91 0.5526983152029973
92 0.552745495532066
93 0.5542877145073516
94 0.5528655082963024
95 0.5534647783035619
96 0.5548057735394948
97 0.5547081328120989
98 0.555031847513063
99 0.5562525293381988
100 0.4592713997517799
101 0.4230103251249706
102 0.41747973261251
103 0.4165141567091406
104 0.42156064458991965
105 0.4167916035656827
106 0.41382918323355766
107 0.4121228528022865
108 0.4131066805702865
109 0.4118599083730467
